<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
YNDX,D,20220920,000000,2238.6000000,2254.0000000,1890.0000000,2010.0000000,3596874
YNDX,D,20220921,000000,1782.2000000,1978.0000000,1688.6000000,1899.4000000,2208774
YNDX,D,20220922,000000,1902.6000000,1969.8000000,1892.4000000,1916.8000000,976973
YNDX,D,20220923,000000,1922.8000000,1923.0000000,1750.0000000,1791.8000000,1516226
YNDX,D,20220926,000000,1752.0000000,1762.0000000,1505.0000000,1543.0000000,2233701
YNDX,D,20220927,000000,1580.0000000,1715.0000000,1575.0000000,1713.2000000,1710834
YNDX,D,20220928,000000,1713.2000000,1796.0000000,1669.2000000,1780.0000000,1811098
YNDX,D,20220929,000000,1803.6000000,1880.0000000,1756.0000000,1840.6000000,1819649
YNDX,D,20220930,000000,1840.0000000,1940.0000000,1801.2000000,1877.6000000,2255911
YNDX,D,20221003,000000,1877.8000000,1959.6000000,1868.0000000,1959.0000000,935982
YNDX,D,20221004,000000,1968.0000000,2004.0000000,1901.0000000,1985.0000000,1244927
YNDX,D,20221005,000000,1988.6000000,2059.4000000,1940.4000000,2029.8000000,1989674
YNDX,D,20221006,000000,2043.6000000,2056.0000000,1977.0000000,2004.4000000,892275
YNDX,D,20221007,000000,1993.0000000,1995.4000000,1913.0000000,1930.2000000,931770
YNDX,D,20221010,000000,1810.2000000,1999.8000000,1810.0000000,1998.0000000,1415111
YNDX,D,20221011,000000,2003.0000000,2037.8000000,1986.0000000,2006.6000000,848118
YNDX,D,20221012,000000,2018.2000000,2058.8000000,1986.0000000,2044.0000000,837060
YNDX,D,20221013,000000,2044.2000000,2089.0000000,2005.6000000,2032.0000000,1076310
YNDX,D,20221014,000000,2035.2000000,2052.0000000,1967.2000000,1991.0000000,867035
YNDX,D,20221017,000000,1998.8000000,2024.6000000,1983.6000000,2022.2000000,474896
YNDX,D,20221018,000000,2034.4000000,2045.0000000,1953.4000000,1968.0000000,609477
YNDX,D,20221019,000000,1969.2000000,1995.0000000,1871.6000000,1927.4000000,1426467
YNDX,D,20221020,000000,1933.6000000,1955.2000000,1907.0000000,1928.8000000,539142
YNDX,D,20221021,000000,1929.2000000,1982.4000000,1910.8000000,1976.0000000,446510
YNDX,D,20221024,000000,1983.6000000,2012.0000000,1950.8000000,1973.4000000,351982
YNDX,D,20221025,000000,1977.0000000,2026.8000000,1957.0000000,2020.2000000,471649
YNDX,D,20221026,000000,2029.6000000,2036.8000000,1984.8000000,2008.0000000,462700
YNDX,D,20221027,000000,2018.2000000,2038.6000000,2002.6000000,2021.0000000,414126
YNDX,D,20221028,000000,2011.4000000,2026.8000000,1962.8000000,2021.8000000,472134
YNDX,D,20221031,000000,2029.8000000,2109.0000000,2025.0000000,2109.0000000,803901
YNDX,D,20221101,000000,2118.8000000,2160.0000000,2097.0000000,2157.0000000,747789
YNDX,D,20221102,000000,2160.0000000,2165.0000000,2055.0000000,2110.0000000,574029
YNDX,D,20221103,000000,2110.2000000,2134.0000000,2080.0000000,2119.0000000,802545
YNDX,D,20221107,000000,2145.8000000,2162.0000000,2130.0000000,2151.6000000,573914
YNDX,D,20221108,000000,2154.8000000,2165.0000000,2111.2000000,2127.6000000,343905
YNDX,D,20221109,000000,2128.0000000,2128.6000000,2035.4000000,2060.4000000,606343
YNDX,D,20221110,000000,2064.6000000,2129.0000000,2040.0000000,2111.6000000,491571
YNDX,D,20221111,000000,2119.4000000,2139.6000000,2111.8000000,2122.2000000,328278
YNDX,D,20221114,000000,2126.4000000,2150.0000000,2102.6000000,2132.4000000,317835
YNDX,D,20221115,000000,2140.0000000,2184.0000000,1950.0000000,2071.6000000,1055573
YNDX,D,20221116,000000,2090.0000000,2124.0000000,2066.0000000,2114.2000000,325735
YNDX,D,20221117,000000,2115.2000000,2128.6000000,2081.2000000,2097.8000000,184839
YNDX,D,20221118,000000,2097.0000000,2110.4000000,2065.0000000,2098.2000000,231699
YNDX,D,20221121,000000,2091.0000000,2102.4000000,2038.0000000,2068.0000000,378347
YNDX,D,20221122,000000,2067.0000000,2095.2000000,2050.0000000,2083.8000000,202290
YNDX,D,20221123,000000,2085.8000000,2159.4000000,2061.0000000,2135.0000000,669003
YNDX,D,20221124,000000,2151.0000000,2154.6000000,2108.4000000,2130.0000000,345805
YNDX,D,20221125,000000,2120.0000000,2153.0000000,2006.0000000,2020.4000000,1924598
YNDX,D,20221128,000000,1994.8000000,1995.6000000,1885.8000000,1914.2000000,2241618
YNDX,D,20221129,000000,1918.8000000,1992.0000000,1916.4000000,1986.2000000,1182505
YNDX,D,20221130,000000,1988.2000000,2014.6000000,1954.8000000,1996.6000000,762512
YNDX,D,20221201,000000,1999.8000000,2003.6000000,1960.0000000,1980.2000000,411776
YNDX,D,20221202,000000,1980.0000000,1980.2000000,1957.2000000,1971.2000000,268044
YNDX,D,20221205,000000,1969.0000000,2004.4000000,1968.2000000,1985.8000000,600269
YNDX,D,20221206,000000,1988.6000000,2000.0000000,1961.6000000,1989.4000000,367212
YNDX,D,20221207,000000,1989.4000000,1989.8000000,1962.0000000,1976.4000000,218390
YNDX,D,20221208,000000,1976.8000000,1984.8000000,1940.8000000,1958.4000000,312388
YNDX,D,20221209,000000,1955.6000000,1963.0000000,1933.0000000,1949.4000000,193187
YNDX,D,20221212,000000,1950.0000000,1959.6000000,1910.0000000,1921.8000000,279073
YNDX,D,20221213,000000,1925.0000000,1927.0000000,1881.0000000,1899.2000000,489237
YNDX,D,20221214,000000,1899.2000000,1899.8000000,1826.4000000,1851.0000000,749148
YNDX,D,20221215,000000,1850.0000000,1883.0000000,1823.6000000,1849.6000000,567164
YNDX,D,20221216,000000,1851.2000000,1862.2000000,1830.8000000,1836.4000000,255675
YNDX,D,20221219,000000,1830.0000000,1834.8000000,1762.4000000,1768.8000000,582864
YNDX,D,20221220,000000,1765.0000000,1845.0000000,1764.6000000,1842.0000000,507271
YNDX,D,20221221,000000,1856.4000000,1878.0000000,1791.2000000,1833.8000000,521557
YNDX,D,20221222,000000,1837.0000000,1865.0000000,1810.0000000,1847.0000000,424790
YNDX,D,20221223,000000,1846.6000000,1847.0000000,1811.0000000,1821.2000000,400956
YNDX,D,20221226,000000,1826.4000000,1829.8000000,1793.0000000,1811.4000000,393506
YNDX,D,20221227,000000,1817.4000000,1849.6000000,1797.2000000,1834.0000000,356130
YNDX,D,20221228,000000,1835.2000000,1846.0000000,1811.0000000,1815.8000000,347826
YNDX,D,20221229,000000,1817.0000000,1828.2000000,1806.2000000,1819.6000000,233511
YNDX,D,20221230,000000,1812.2000000,1823.0000000,1791.0000000,1817.8000000,370215
YNDX,D,20230103,000000,1817.2000000,1839.0000000,1805.8000000,1832.0000000,209699
YNDX,D,20230104,000000,1834.0000000,1877.0000000,1827.2000000,1867.0000000,221737
YNDX,D,20230105,000000,1871.6000000,1886.8000000,1841.2000000,1855.4000000,156597
YNDX,D,20230106,000000,1856.2000000,1864.4000000,1845.0000000,1850.4000000,74490
YNDX,D,20230109,000000,1857.2000000,1874.2000000,1850.0000000,1866.8000000,216289
YNDX,D,20230110,000000,1869.0000000,1873.8000000,1855.0000000,1870.0000000,195392
YNDX,D,20230111,000000,1874.8000000,1909.6000000,1873.0000000,1909.0000000,306673
YNDX,D,20230112,000000,1909.0000000,1914.8000000,1886.8000000,1897.8000000,202326
YNDX,D,20230113,000000,1898.0000000,1914.6000000,1883.4000000,1912.0000000,208163
YNDX,D,20230116,000000,1925.6000000,1955.0000000,1923.0000000,1953.8000000,313669
YNDX,D,20230117,000000,1956.4000000,1958.4000000,1869.8000000,1889.6000000,533009
YNDX,D,20230118,000000,1889.0000000,1931.8000000,1872.8000000,1906.6000000,407744
YNDX,D,20230119,000000,1910.2000000,1914.0000000,1873.2000000,1882.4000000,195959
YNDX,D,20230120,000000,1877.8000000,1913.8000000,1871.2000000,1904.8000000,307976
YNDX,D,20230123,000000,1909.4000000,1948.0000000,1903.2000000,1945.0000000,338606
YNDX,D,20230124,000000,1949.4000000,1959.8000000,1912.2000000,1919.8000000,422587
YNDX,D,20230125,000000,1920.2000000,1927.6000000,1897.2000000,1914.8000000,236938
YNDX,D,20230126,000000,1910.0000000,1924.8000000,1885.0000000,1902.8000000,249891
YNDX,D,20230127,000000,1902.0000000,1916.0000000,1897.6000000,1912.0000000,154186
YNDX,D,20230130,000000,1912.0000000,1938.6000000,1912.0000000,1934.0000000,188721
YNDX,D,20230131,000000,1938.6000000,2047.4000000,1934.0000000,2047.2000000,1186473
YNDX,D,20230201,000000,2051.0000000,2128.0000000,2036.2000000,2088.0000000,1729949
YNDX,D,20230202,000000,2098.6000000,2102.6000000,2055.0000000,2075.0000000,418666
YNDX,D,20230203,000000,2074.4000000,2074.4000000,2025.0000000,2055.8000000,537014
YNDX,D,20230206,000000,2070.0000000,2108.0000000,2070.0000000,2094.6000000,763152
YNDX,D,20230207,000000,2090.0000000,2104.2000000,2061.0000000,2076.6000000,441443
YNDX,D,20230208,000000,2080.0000000,2080.0000000,2036.0000000,2060.2000000,421100
YNDX,D,20230209,000000,2057.2000000,2058.6000000,2032.0000000,2040.4000000,245384
YNDX,D,20230210,000000,2046.2000000,2065.2000000,2032.8000000,2060.8000000,321474
YNDX,D,20230213,000000,2071.4000000,2092.4000000,2057.8000000,2065.2000000,397668
YNDX,D,20230214,000000,2064.6000000,2065.0000000,1994.0000000,2028.6000000,795370
YNDX,D,20230215,000000,2030.4000000,2048.0000000,1921.6000000,1969.2000000,1833428
YNDX,D,20230216,000000,1981.0000000,2023.0000000,1958.0000000,1976.4000000,624540
YNDX,D,20230217,000000,1975.0000000,1987.8000000,1956.0000000,1971.0000000,331242
YNDX,D,20230220,000000,1968.0000000,1968.0000000,1913.0000000,1958.0000000,448046
YNDX,D,20230221,000000,1969.8000000,2034.8000000,1960.0000000,1993.8000000,820897
YNDX,D,20230222,000000,1998.4000000,1999.6000000,1969.8000000,1980.4000000,242025
YNDX,D,20230224,000000,1986.4000000,1998.2000000,1980.4000000,1986.6000000,142949
YNDX,D,20230227,000000,1949.0000000,2025.0000000,1930.2000000,2007.4000000,666089
YNDX,D,20230228,000000,2014.8000000,2036.0000000,2010.0000000,2015.0000000,352946
YNDX,D,20230301,000000,2019.8000000,2040.0000000,2015.0000000,2033.8000000,342963
YNDX,D,20230302,000000,2037.8000000,2037.8000000,1955.2000000,1970.8000000,1220219
YNDX,D,20230303,000000,1970.6000000,1991.2000000,1932.4000000,1984.2000000,355224
YNDX,D,20230306,000000,1996.8000000,1999.2000000,1964.0000000,1973.0000000,588584
YNDX,D,20230307,000000,1974.8000000,1978.6000000,1956.2000000,1961.8000000,337990
YNDX,D,20230309,000000,1963.4000000,1970.4000000,1935.4000000,1942.0000000,464950
YNDX,D,20230310,000000,1933.8000000,1940.0000000,1911.0000000,1917.0000000,477838
YNDX,D,20230313,000000,1919.6000000,1939.6000000,1880.4000000,1907.4000000,679374
YNDX,D,20230314,000000,1912.2000000,1913.8000000,1886.0000000,1901.2000000,382695
YNDX,D,20230315,000000,1906.8000000,1910.8000000,1860.0000000,1864.2000000,543086
YNDX,D,20230316,000000,1856.4000000,1882.0000000,1812.0000000,1851.0000000,1259109
YNDX,D,20230317,000000,1859.6000000,1899.2000000,1847.2000000,1898.0000000,672443
YNDX,D,20230320,000000,1900.0000000,1915.0000000,1881.0000000,1910.0000000,664723
YNDX,D,20230321,000000,1915.0000000,1920.0000000,1866.0000000,1887.6000000,463924
YNDX,D,20230322,000000,1885.0000000,1903.4000000,1866.6000000,1887.8000000,368458
YNDX,D,20230323,000000,1887.8000000,1907.6000000,1885.2000000,1902.0000000,263327
YNDX,D,20230324,000000,1902.8000000,1909.0000000,1880.0000000,1886.4000000,183485
YNDX,D,20230327,000000,1889.8000000,1920.0000000,1889.8000000,1919.6000000,370357
YNDX,D,20230328,000000,1923.4000000,1947.0000000,1920.8000000,1929.6000000,352927
YNDX,D,20230329,000000,1932.8000000,1936.8000000,1907.0000000,1919.6000000,271441
YNDX,D,20230330,000000,1919.6000000,1926.4000000,1911.0000000,1917.4000000,229580
YNDX,D,20230331,000000,1921.0000000,1921.4000000,1888.4000000,1901.6000000,304340
YNDX,D,20230403,000000,1910.0000000,1919.0000000,1902.6000000,1913.0000000,225021
YNDX,D,20230404,000000,1916.8000000,1925.0000000,1896.4000000,1905.0000000,345392
YNDX,D,20230405,000000,1905.0000000,1909.0000000,1892.0000000,1907.2000000,201662
YNDX,D,20230406,000000,1907.2000000,1934.0000000,1906.2000000,1912.8000000,421606
YNDX,D,20230407,000000,1918.2000000,1925.0000000,1910.4000000,1919.8000000,196181
YNDX,D,20230410,000000,1924.6000000,1998.2000000,1922.2000000,1993.0000000,1385988
YNDX,D,20230411,000000,1998.0000000,2019.0000000,1927.8000000,1952.2000000,1079024
YNDX,D,20230412,000000,1963.0000000,1969.8000000,1935.2000000,1953.6000000,308677
YNDX,D,20230413,000000,1958.4000000,1966.8000000,1942.0000000,1954.0000000,243595
YNDX,D,20230414,000000,1957.4000000,1959.6000000,1940.0000000,1945.0000000,177435
YNDX,D,20230417,000000,1954.8000000,1980.0000000,1948.0000000,1964.8000000,334304
YNDX,D,20230418,000000,1970.2000000,1985.0000000,1953.0000000,1981.4000000,422683
YNDX,D,20230419,000000,1983.0000000,2028.2000000,1962.0000000,1989.6000000,1005697
