<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
ROSN,D,20230309,000000,364.9500000,366.4500000,362.6500000,364.0000000,1634522
ROSN,D,20230310,000000,363.0000000,366.5500000,359.5500000,365.9000000,2267757
ROSN,D,20230313,000000,366.2500000,368.2500000,360.0500000,363.5000000,3128959
ROSN,D,20230314,000000,362.4000000,371.0000000,362.0000000,364.5500000,2797705
ROSN,D,20230315,000000,364.8500000,367.9000000,355.5000000,357.9500000,3624140
ROSN,D,20230316,000000,357.4000000,359.5000000,353.2000000,359.2000000,2199481
ROSN,D,20230317,000000,360.3000000,366.0000000,357.2500000,365.2000000,4449517
ROSN,D,20230320,000000,366.3000000,380.0000000,364.6500000,377.4000000,6743530
ROSN,D,20230321,000000,379.4500000,384.7000000,367.6500000,371.8000000,6548585
ROSN,D,20230322,000000,371.6500000,379.7000000,368.2500000,375.5000000,3341038
ROSN,D,20230323,000000,375.7500000,378.0500000,371.8000000,374.4500000,1740017
ROSN,D,20230324,000000,375.1500000,378.0000000,373.4000000,377.2500000,1229053
ROSN,D,20230327,000000,378.6000000,384.9500000,377.6500000,383.2500000,2926400
ROSN,D,20230328,000000,384.1500000,384.5500000,377.6500000,381.5000000,2267865
ROSN,D,20230329,000000,382.6000000,386.6500000,378.1500000,385.4500000,3172485
ROSN,D,20230330,000000,385.6000000,387.8500000,383.0000000,386.1500000,1695216
ROSN,D,20230331,000000,386.5000000,386.9000000,376.1000000,380.9000000,3095377
ROSN,D,20230403,000000,393.8000000,396.0000000,388.1000000,390.9000000,6287163
ROSN,D,20230404,000000,391.7500000,394.1000000,387.2500000,390.0000000,3240344
ROSN,D,20230405,000000,390.3000000,391.9500000,382.1500000,389.7000000,2649736
ROSN,D,20230406,000000,390.0500000,393.4000000,388.6000000,389.8000000,2656065
ROSN,D,20230407,000000,390.7500000,392.2000000,386.6500000,391.7000000,1793265
ROSN,D,20230410,000000,391.9000000,395.4500000,391.2000000,393.5000000,2506465
ROSN,D,20230411,000000,394.6500000,397.4500000,385.1000000,388.3500000,3439379
ROSN,D,20230412,000000,388.6500000,391.9000000,388.1000000,390.9000000,1481347
ROSN,D,20230413,000000,391.6500000,391.8000000,387.3000000,390.1000000,1102799
ROSN,D,20230414,000000,390.0000000,394.0000000,385.2500000,392.4000000,2198781
ROSN,D,20230417,000000,394.0000000,395.9500000,392.6000000,395.8500000,2063995
ROSN,D,20230418,000000,396.0000000,398.8500000,393.8500000,397.0000000,2295714
ROSN,D,20230419,000000,397.3000000,402.9500000,394.9000000,396.1000000,4245021
ROSN,D,20230420,000000,395.7500000,399.0000000,390.0500000,396.5000000,3420740
ROSN,D,20230421,000000,397.7500000,401.0000000,394.5500000,398.7500000,1853982
ROSN,D,20230424,000000,398.3500000,400.9500000,396.8000000,400.4000000,1468056
ROSN,D,20230425,000000,399.8000000,400.7500000,395.0000000,396.4500000,1324609
ROSN,D,20230426,000000,396.3000000,399.5000000,395.4500000,395.7500000,1228446
ROSN,D,20230427,000000,396.0500000,398.6000000,394.3500000,398.2500000,1296634
ROSN,D,20230428,000000,398.9500000,399.7500000,393.3000000,393.8000000,2142986
ROSN,D,20230502,000000,393.9500000,395.8000000,387.5000000,390.0000000,2594432
ROSN,D,20230503,000000,390.0500000,390.1500000,377.0500000,378.0000000,2927388
ROSN,D,20230504,000000,378.3000000,382.1000000,376.0000000,379.9500000,1920188
ROSN,D,20230505,000000,379.5000000,383.0000000,376.0000000,378.6500000,1808969
ROSN,D,20230508,000000,379.9000000,382.6000000,378.7500000,381.1000000,676469
ROSN,D,20230510,000000,380.9500000,393.4500000,380.0500000,392.1000000,2254064
ROSN,D,20230511,000000,392.5500000,398.9500000,387.4000000,391.6500000,4191772
ROSN,D,20230512,000000,391.8000000,398.9500000,390.7000000,398.9500000,2476168
ROSN,D,20230515,000000,399.0000000,409.0000000,397.1500000,407.8500000,4892364
ROSN,D,20230516,000000,408.9000000,413.8000000,405.2500000,410.7500000,3074107
ROSN,D,20230517,000000,410.8000000,418.9500000,406.0500000,414.8000000,2878133
ROSN,D,20230518,000000,416.1500000,417.0000000,411.2500000,414.1000000,2790932
ROSN,D,20230519,000000,414.2500000,415.9500000,410.1500000,413.6500000,2376135
ROSN,D,20230522,000000,417.0000000,428.3500000,414.2000000,424.5000000,4214249
ROSN,D,20230523,000000,425.2000000,427.8500000,419.4000000,424.8000000,3056110
ROSN,D,20230524,000000,425.2500000,440.0000000,422.9000000,436.0000000,5451954
ROSN,D,20230525,000000,437.8500000,438.7000000,428.5500000,430.1500000,5200097
ROSN,D,20230526,000000,428.8500000,434.6500000,425.3000000,432.9000000,3217862
ROSN,D,20230529,000000,435.3500000,441.7000000,435.0000000,440.4500000,4293959
ROSN,D,20230530,000000,437.9500000,444.5000000,431.0000000,434.5000000,6063258
ROSN,D,20230531,000000,433.6000000,451.7500000,431.3000000,450.1000000,9672031
ROSN,D,20230601,000000,452.0500000,458.8500000,448.0000000,451.5000000,5614408
ROSN,D,20230602,000000,453.5000000,459.0000000,452.3000000,458.9500000,3256858
